,sigma_x_ref,sigma_y_ref,sigma_xy_ref
0,0.02143668927875,0.01249461148029,0.01742228296009
1,0.01291141733108,0.00985305847282,0.01135762743687
2,0.00959849691129,0.00772083494442,0.00861887680158
3,0.01034736977347,0.00847937150104,0.00936802693595
4,0.01094928072467,0.00905197580027,0.00995419551857
5,0.01145213285026,0.00951448756847,0.01043649648314
6,0.01188359752295,0.00990331439813,0.01084639140614
7,0.01226129050995,0.01023912423862,0.01120288752067
8,0.01255671667928,0.01054038587005,0.01150033718279
9,0.01285214284861,0.01084164750148,0.01179778684491
10,0.01317658779222,0.01104028884177,0.01206016044699
11,0.01343155414113,0.01126103642307,0.01229764525469
12,0.01366911043603,0.01146594517281,0.01251848678127
13,0.0138925328058,0.01165804857527,0.01272584263509
14,0.01410452485802,0.01183981766014,0.0129223018877
15,0.01430734665426,0.01201329705761,0.0131100178595
16,0.01449936349729,0.01218346437275,0.0132904037549
17,0.01469138034033,0.0123536316879,0.01347078965031
18,0.01487851611978,0.01249986037114,0.01363750304184
19,0.01506116022976,0.01265491566938,0.01380586602482
20,0.01524180451888,0.01280805649546,0.01397225807479
21,0.01542135164734,0.01296007498871,0.01413752612817
22,0.01560058675866,0.01311165859214,0.01430240600855
23,0.01578019357274,0.01326340485729,0.0144675378976
24,0.01596521941032,0.0134166298773,0.01463577664273
25,0.0161502452479,0.01356985489731,0.01480401538786
26,0.01632682404081,0.01372448714676,0.01496966524904
27,0.01651314802621,0.01388144515597,0.0151406970863
28,0.01670213738129,0.01404056497876,0.01531412566499
29,0.01689408269542,0.01420209971656,0.01549022264068
30,0.01708923232105,0.01436626582934,0.01566922027902
31,0.0172877967519,0.01453324699229,0.0158513155718
32,0.01749552373488,0.01470221055279,0.01603864338034
33,0.01770325071785,0.01487117411329,0.01622597118889
34,0.01790559316477,0.01505249353858,0.01641770065148
35,0.01811928931821,0.01523202536002,0.0166135680051
36,0.01833700399132,0.01541490322878,0.01681310055414
37,0.01855878684922,0.01560117215756,0.01701634578886
38,0.0187846687782,0.0157908610329,0.01722333378001
39,0.01901466355906,0.01598398406392,0.01743407873776
40,0.01925310559291,0.01617834823542,0.01764938166908
41,0.01949154762676,0.01637271240693,0.0178646846004
42,0.01972923683214,0.01658390646393,0.01808878808156
43,0.01997552842088,0.0167906576072,0.01831443205347
44,0.02022579304866,0.01700073513311,0.01854371067241
45,0.02047996886849,0.01721408849626,0.01877656810434
46,0.02073798489835,0.01743065934519,0.01901294006361
47,0.02099976178757,0.01765038218025,0.01925275452369
48,0.0212674696232,0.01787021557083,0.0194953833378
49,0.02153517745884,0.0180900489614,0.01973801215191
50,0.02180675291533,0.01832771268282,0.01999202982499
51,0.0220826357554,0.01855926556233,0.02024476088983
52,0.02236177983613,0.0187935551366,0.02050047921503
53,0.02264406850799,0.01903048408205,0.02075907829367
54,0.02292938064004,0.01926995125508,0.02102044747806
55,0.02321759102206,0.01951185203535,0.02128447235165
56,0.0235085229101,0.01975265209495,0.02154919162281
57,0.02379945479814,0.01999345215455,0.02181391089397
58,0.02409830607246,0.0202510642304,0.02209128752175
59,0.02439678837482,0.02050159445527,0.02236472726117
60,0.02469749398108,0.02075399351789,0.02264020543444
61,0.02500028028573,0.02100814197251,0.02291759155312
