,sigma_x_ref,sigma_y_ref,sigma_xy_ref
0,0.027265261331649436,0.01614922960098386,0.02209007316563869
1,0.031982787613423186,0.024373001197260998,0.027915483264047525
2,0.03477428192830651,0.026828448224681122,0.030742401789703992
3,0.03696011454979489,0.029560704894887213,0.03303719811210458
4,0.03870032152947527,0.03103546241643251,0.034751406881535135
5,0.040185049472777186,0.03270559708299492,0.03622946550176612
6,0.04147860787391795,0.03374556953569066,0.037474785718633045
7,0.0426496923727276,0.03499041358820314,0.03860276877541553
8,0.04373214821486267,0.03581464492533852,0.03962365880719565
9,0.0447598653941928,0.036864195262133526,0.04058967712885061
10,0.0457527866100332,0.03758777877018444,0.04151057987303726
11,0.04673006621070859,0.03855546131308439,0.04241338120179729
12,0.04770401639299077,0.0392461028999565,0.0433060827342166
13,0.04868609520458164,0.04019596502936487,0.04420336058991143
14,0.049683957326944486,0.04089539100217397,0.04511146808235275
15,0.05070450931735451,0.041865674815625614,0.04603823338009559
16,0.051752368591779924,0.04259977024587,0.04698842544923626
17,0.052831531840919696,0.04361345152947478,0.04796575404749262
18,0.05394454739525738,0.044397780060505335,0.0489737792458523
19,0.055093453904281275,0.04546807441438433,0.05001360459516249
20,0.05627934721250502,0.04631117331685955,0.05108781209832527
21,0.05750290183183307,0.04744473110170386,0.052195806118214734
22,0.058764172381306296,0.04835020777930518,0.05333937152022662
23,0.060062860094214826,0.0495491088598706,0.054516791086631586
24,0.061398262529192255,0.05051703797231952,0.0557291911193561
25,0.06276937553440606,0.05178010508740219,0.05697411814215396
26,0.06417494170070412,0.052807993199944364,0.05825214553704671
27,0.06561344126597093,0.05413169245068292,0.0595603503885078
28,0.06708320929924791,0.0552151636971511,0.06089883420197272
29,0.0685823488319649,0.056594242653084215,0.06226439527388523
30,0.0701088976865305,0.05772753884747739,0.06365672633731509
31,0.0716606854879997,0.05915549210792276,0.06507248699295481
32,0.07323553745320227,0.06033184679982978,0.06651101148341723
33,0.0748310899244723,0.06180126536686015,0.06796892642371466
34,0.07644502234283196,0.06301319108602671,0.06944524887812749
35,0.07807484154558464,0.06451603229343672,0.07093665438249455
36,0.07971813561803853,0.06575554756953284,0.07244187802348794
37,0.08137233433513053,0.06728335021835269,0.07395770946024278
38,0.08303498019747446,0.06854216470977448,0.07548263297431715
39,0.08470347047538357,0.0700862262508592,0.07701360568950856
40,0.08637534181287432,0.07135589672257003,0.07854888970096822
41,0.08804799800523533,0.0729074240622416,0.08008565439606659
42,0.08971900528998372,0.07417949001617935,0.08162196673807472
43,0.09138580905088245,0.0757297318263076,0.08315524688332213
44,0.09304603742339956,0.0769958367181186,0.08468339275118
45,0.09469720944314447,0.07853620244157072,0.08620410895058937
46,0.09633704494749579,0.07978820425883987,0.08771514975601595
47,0.09796316619658851,0.08131037298068877,0.0892145339827761
48,0.0995734122985592,0.08254044629631974,0.09069989698734723
49,0.10116553597754163,0.08403646710257173,0.09216959806694357
50,0.10273752091781208,0.08523719742461044,0.09362117752421788
51,0.10428727510419511,0.08669958167810699,0.09505335805385885
52,0.10581294959112142,0.08786405192164859,0.09646360755863477
53,0.10731262967627364,0.08928585698480118,0.09785103155864223
54,0.10878465366734935,0.09040772515349027,0.09921304654753156
55,0.11022730305808792,0.09178262844527352,0.10054915651360595
56,0.11163911989608621,0.09285619511007503,0.10185674536357191
57,0.11301859710389772,0.09417855698321675,0.10313572701347513
58,0.1143644930503872,0.09519882087428544,0.10438346893240612
59,0.1156755231936768,0.09646373462560254,0.10560030180517672
60,0.11695067042662066,0.09742643459967215,0.10678358968966396
61,0.11818887931197652,0.09862976197065576,0.10793408184658405
62,0.11938936070574457,0.0995314037684174,0.10904914847997967
63,0.1205512900085024,0.1006697945342383,0.1101299538526513
64,0.12167410446257254,0.10150766107537323,0.11117388020455872
65,0.12275720705881754,0.10257855573148611,0.1121824976046193
66,0.12380025474454548,0.10335070017847914,0.11315320253398821
67,0.12480286990756118,0.10435231527511113,0.11408795593791411
68,0.1257649175073442,0.10505753668537421,0.11498416724780004
69,0.12668622641583382,0.10598883298525374,0.11584416764783435
70,0.12756685317620153,0.10662663501544678,0.11666537513584647
71,0.12840681592589354,0.10748726930423524,0.11745046494511165
72,0.12920634207237602,0.10805780307467583,0.11819685678022736
73,0.12996561807667795,0.1088480650830903,0.11890753843999081
74,0.1306850177845823,0.10935205790045066,0.11957992281754727
75,0.13136487203601688,0.11007279434952977,0.12021727382132842
76,0.13200567366557814,0.11051146647393817,0.12081698835363953
77,0.13260787176330557,0.11116399468721216,0.12138256533318738
78,0.13317204841200747,0.11153896667639429,0.12191137698473088
79,0.13369874351089484,0.11212498048400665,0.12240711176461373
80,0.13418859708626696,0.11243817382795929,0.12286711031434185
81,0.13464221197437143,0.11295964459934804,0.12329520091813585
82,0.13506025394151533,0.11321317836157418,0.12368868891899922
83,0.13544336130736012,0.11367225394475511,0.12405148840009685
84,0.13579219302545587,0.11386833995400292,0.12438087041295821
85,0.13610739664979865,0.11426724408001132,0.12468077609903484
86,0.1363895918006569,0.11440808288369408,0.12494844962420583
87,0.13663941092488852,0.11474901723739439,0.12518779492800117
88,0.1368574019844856,0.11483669655538142,0.12539604496849024
89,0.13704416049952406,0.11512174724575286,0.12557699535671554
90,0.13720013054065816,0.11515814407627867,0.12572789395414033
91,0.13732585194140612,0.11538919369431999,0.12585234801159698
92,0.13742163231119353,0.1153758805460322,0.12594765942768685
93,0.13748794059234404,0.11555452640198649,0.1260171552238503
94,0.13752491420507518,0.11549268137226143,0.126058246722941
95,0.13753294006236327,0.11562015988795427,0.12607387290656905
96,0.13751194919491072,0.11551047948278448,0.12606163034125253
97,0.13746224003839536,0.1155875960915449,0.1260239405503115
98,0.1373834966073897,0.11543020877558696,0.12595868716946043
99,0.1372759279880058,0.11545727206642864,0.1258676154375443
100,0.13713892330225053,0.11525164950736932,0.12574903151480346
101,0.13697260836996206,0.11522840774418563,0.12560380534517948
102,0.1367760182378498,0.1149732695127893,0.1254308453410419
103,0.13654921074580495,0.1148988470611626,0.1252298919401392
104,0.1362907905007914,0.11459205306693476,0.12500069492928154
105,0.13600077557640794,0.11446488366798796,0.12474153464302036
106,0.13567723794369374,0.11410330669082608,0.12445332260633903
107,0.13532020327696248,0.11392105994383694,0.12413244173251355
108,0.13492706986593095,0.11350042803068539,0.12378139897295438
109,0.13449794799851794,0.11325992490581155,0.12339409159428406
110,0.13402936229806517,0.11277461976667758,0.12297521692200124
111,0.1335216321979084,0.11247173255838666,0.12251538185531448
112,0.1329701178503105,0.11191452483829462,0.12202230325312222
113,0.13237555077227145,0.11154405686730864,0.12148217704894873
114,0.1317316929013604,0.11090575134982537,0.12090691627773828
115,0.13104002354727567,0.11046129232158254,0.12027671544583252
116,0.13029204178780995,0.10973024416576467,0.11960938763752499
117,0.12949054101748372,0.10920399917936938,0.11887682118155019
118,0.1286237083431296,0.10836544348783952,0.11810525239185661
119,0.12769662868440107,0.10774803880956924,0.11725484614646896
120,0.12669246563956715,0.10678314534894273,0.11636409143130567
121,0.12562032751465368,0.10606342525089962,0.11537623252567099
122,0.12445545751504317,0.10494793908842204,0.11434798156623778
123,0.12321414827708166,0.10411279129425433,0.11319753247130816
124,0.12185861499800088,0.10281503153367677,0.11200940668562244
125,0.12041830119351171,0.10184932594400975,0.1106636283988043
126,0.11883297305555984,0.1003271552287256,0.10928842063215573
127,0.11715692644552322,0.0992139752748804,0.10770372843339483
128,0.11528921677389525,0.09741005389812796,0.10610875567605983
129,0.11333296635611512,0.09613158932149335,0.1042253829273685
130,0.11110912737200396,0.09396564407986352,0.10237241350663108
131,0.10882130349314623,0.09250549157975807,0.10010508079134862
132,0.10613095495320435,0.08986113494169112,0.09795199306562209
133,0.10346020561765057,0.08820949477253714,0.0951724338874136
134,0.10012106782879049,0.08491054203927084,0.09267937009113526
135,0.09704362835879765,0.08307518406261982,0.08918117716424413
136,0.0927086406189388,0.07884030612510218,0.08632718326025392
137,0.08932965984166286,0.07686836290760235,0.08175028808113695
138,0.08319600962449014,0.07121567874687296,0.07856789592355608
139,0.08015086993593279,0.06923261132934933,0.07223147783034235
140,0.0697868159149233,0.0612280186135572,0.06879291836885228
141,0.07023447382565173,0.0594938217283012,0.059407059035756056
142,0.042747240979501555,0.045959230697114606,0.05343405122437828
143,0.03459762137025584,0.015240619947643348,0.026036969456397822
144,0.0356822439577854,0.02185299474013596,0.02874111571827671
145,0.03764890416711757,0.02571892450896666,0.031593368495147045
146,0.0391626335761376,0.028069048942905326,0.033473575783049575
147,0.04058894351172349,0.030236929257034383,0.03519758060066414
148,0.04182854598181245,0.03166718833629252,0.03656492195836824
149,0.04299129064332292,0.03317448241041743,0.03782812690837035
150,0.044066979198233755,0.034202169259385476,0.03892789509835914
151,0.04510340457167823,0.03539191183072647,0.03997016174968422
152,0.04610392211107929,0.036219261243078046,0.040936382722570115
153,0.04709354010616129,0.03725306507697346,0.041877543486523255
154,0.0480771314598509,0.03798621872292454,0.042789809900294316
155,0.0490690378874379,0.03895390539959946,0.04369886577719222
156,0.050073244736640404,0.03965573566282923,0.04460674565778212
157,0.0510982576639859,0.040611312590091875,0.04552587427129606
158,0.05214680986337085,0.041320920200631314,0.04646065238476989
159,0.0532238659063857,0.04229784150675278,0.04741595176563112
160,0.0543310218591921,0.04303971463556232,0.048397002814814606
161,0.055470937797882536,0.04405854584542862,0.049404148700391476
162,0.056644280134633074,0.0448475549122761,0.05044272401552186
163,0.057852135095647655,0.04592029410050727,0.05151028850076032
164,0.05909443767539008,0.046764693187575646,0.05261191863777101
165,0.060371162661857936,0.04789741308100104,0.053743466602567534
166,0.06168167954545428,0.04880076657662763,0.05490956147615605
167,0.06302516011556486,0.04999532751233554,0.05610504675474815
168,0.06440054135465192,0.05095780655792523,0.057334001633356745
169,0.06580640657995379,0.0522130168617056,0.058590734429112334
170,0.06724136558851362,0.053232303434124606,0.05987871768748806
171,0.06870356779401174,0.05454473311386901,0.06119205657263709
172,0.07019137944600753,0.05561666907027504,0.06253358561961121
173,0.07170263103732044,0.05698123727196547,0.06389744645848461
174,0.0732355124917104,0.058100302474234755,0.06528581932178494
175,0.07478762359871177,0.059510713065151266,0.06669305957840628
176,0.07635703300921509,0.060670386532524934,0.0681206865625453
177,0.07794117963547897,0.06211945973309074,0.06956340346331373
178,0.0795380570246707,0.06331249967191804,0.07102206896189693
179,0.08114500026140375,0.0647924316585145,0.07249183756198424
180,0.08275996754281534,0.06601109882092537,0.07397291280793794
181,0.08438023822042895,0.06751367107875128,0.07546098192817038
182,0.08600377027778183,0.06874991240975836,0.07695560319174874
183,0.08762782907462591,0.07026666590360625,0.07845306170849631
184,0.08925040415214741,0.07151227030955004,0.07995228405805477
185,0.09086878400508869,0.07303465491750194,0.08145020615814305
186,0.0924810189440663,0.07428138934660794,0.08294513970937695
187,0.09408445421724854,0.07580089569475468,0.08443471489020704
188,0.09567722799686196,0.07704062704017123,0.08591664808119549
189,0.09725677302592206,0.07854890542825876,0.08738929954070658
190,0.09882134045247626,0.07977371173226788,0.08884981213691942
191,0.10036847864973497,0.08126268097779255,0.09029730555378429
192,0.10189657478084846,0.08246495384299579,0.09172837266222116
193,0.10340331837956274,0.08392690143156545,0.09314291609205659
194,0.10488725330925452,0.08509944031979011,0.09453700336078251
195,0.10634623299712997,0.08652711413781311,0.09591133800089567
196,0.10777897593067798,0.08766321229593665,0.09726148735164687
197,0.10918351904986301,0.0890499033858595,0.0985889682176088
198,0.11055877014856386,0.09014342444754353,0.0998888728803863
199,0.11190296580924053,0.09148303963838678,0.10116353797275378
200,0.11321521407229185,0.09252848349427933,0.10240760524911137
201,0.11449396342821261,0.09381560640660702,0.1036242315570624
202,0.11573852889145952,0.09480816270394132,0.1048076316227214
203,0.11694757894399976,0.09603810149947223,0.1059617763003209
204,0.11812063769425285,0.09697368911495097,0.10708047545413789
205,0.11925659730401994,0.09814250944150171,0.10816850069790758
206,0.12035518820533242,0.09901780045368613,0.10921927775251163
207,0.12141552546472512,0.10012234230837502,0.11023835827903745
208,0.12243753803258117,0.10093476935199341,0.11121880323692575
209,0.12342055874533053,0.10197264701683362,0.11216691577080691
210,0.12436470223745844,0.10272039339767891,0.11307541049745624
211,0.12526950991222863,0.1036899781539119,0.11395130528644155
212,0.12613526437868627,0.1043719506931503,0.11478698653063775
213,0.12696170281715402,0.10527233664420599,0.1155901415544502
214,0.12774925350948652,0.105888121855095,0.11635284732021713
215,0.12849783369963108,0.10671907582936935,0.11708340649738215
216,0.1292079908275674,0.10726888065078932,0.11777360738818417
217,0.12987980439033242,0.10803077776202707,0.11843230465720024
218,0.1305139106864054,0.1085153566315481,0.11905102234140409
219,0.13111053252559524,0.10920910359499514,0.1196390939537937
220,0.13167036139912192,0.10962967409112423,0.12018780929957663
221,0.1321937444445488,0.11025662278978243,0.12070689697566696
222,0.13268139165367288,0.11061477237449147,0.12118745064568161
223,0.1331337566487849,0.11117662641143378,0.1216394983881718
224,0.13355152838657425,0.11147421293645188,0.12205398675499136
225,0.13393525155666164,0.11197292998540243,0.12244113408139791
226,0.1342855516393593,0.11221197858187804,0.12279180322386564
227,0.13460305279700635,0.11264967125714231,0.12311627737216459
228,0.13488827127707026,0.11283227001268159,0.1234054176540861
229,0.13514190449941121,0.11321110773720788,0.1236694269515425
230,0.13536430952634493,0.11333930419058069,0.12389927028971849
231,0.13555625800249993,0.1136614181701382,0.12410490037492618
232,0.13571789214627827,0.11373711814562526,0.12427752180174491
233,0.13585006817293566,0.11400451108547227,0.12442663577775638
234,0.13595264973492882,0.1140293807680226,0.12454386032766442
235,0.13602660015597023,0.11424384243169716,0.12463800322174214
236,0.13607142922932935,0.1142192138696484,0.12470131854492085
237,0.13608824590038004,0.11438224300147048,0.12474162566916748
238,0.13607611412286313,0.11430902242960583,0.1247521001311639
239,0.13603634823580157,0.11442175497162421,0.12473920807737073
240,0.13596745027845825,0.11430033247144578,0.12469741345159914
241,0.1358710286160958,0.11436347541482239,0.12463137149390076
242,0.13574487244592237,0.11419363345337052,0.12453730871305026
243,0.1355910128440393,0.1142074030845791,0.12441748728744208
244,0.13540632461868918,0.11398822036088663,0.12427051309381489
245,0.13519344708411685,0.11395228308445493,0.12409550469286663
246,0.1349480650750875,0.11368202879940548,0.12389425642738801
247,0.1346736941361068,0.11359544212845979,0.12366176256501023
248,0.1343644441600927,0.11327145418562207,0.12340407777736502
249,0.13402509712532368,0.11313260485413429,0.12311077343423384
250,0.13364763930825485,0.11275114347248327,0.1227936005259493
251,0.13323869424509638,0.11255767886016665,0.1224349643731099
252,0.1327873270868135,0.11211374447512068,0.1220542601923303
253,0.13230286368292746,0.11186249252800581,0.12162435441473295
254,0.1317702655378797,0.11134959350780307,0.12117496479518193
255,0.13120287201751535,0.11103646479276974,0.12066614172588615
256,0.13057975085101686,0.11044631628256624,0.12014166174425078
257,0.1299202917460328,0.11006617914288841,0.11954416454888227
258,0.1291948988037126,0.10938830937357664,0.11893677736461046
259,0.12843224370045822,0.10893482401401136,0.11823818673222253
260,0.12758968067549553,0.10815605947882662,0.11753848420875967
261,0.1267104074725408,0.10762144612497238,0.11672293938290353
