,x,y,sigma_x_spr,sigma_y_spr,sigma_xy_spr
0,0.0,0.0,0.09183763476029,0.06012151636392,0.05881562075899
1,12.0,11.0,0.08451346742555,0.03473774823353,0.05996188037705
2,24.0,22.0,0.06480972626265,0.04166674984374,0.04758828779228
3,36.0,33.0,0.06662115894496,0.05706238483657,0.06090110724368
4,48.0,44.0,0.07205545699189,0.10324928981504,0.1008395655979
5,0.0,11.0,0.08707917626923,0.00757213046749,0.04023183752648
6,12.0,20.25,0.08521054996742,0.03676925048339,0.06333173515282
7,24.0,29.5,0.08390388905511,0.06593820739684,0.080760715072
8,36.0,38.75,0.05917880948963,0.08639418263315,0.08161256414504
9,48.0,48.0,0.01645086364344,0.05802726442883,0.04632905490349
10,0.0,22.0,0.02871450266087,-0.00104835543382,0.0250040974095
11,12.0,29.5,0.02988987998307,0.01176803188039,0.03734865921373
12,24.0,37.0,0.00584412056838,0.03086429826053,0.03531042992237
13,36.0,44.5,-0.00187506758342,0.05877649839496,0.04750517329481
14,48.0,52.0,-0.00084288591733,0.03130132535217,0.02363711014808
15,0.0,33.0,-0.03850975289255,-0.01141772553788,0.00265741908413
16,12.0,38.75,-0.08521054996742,-0.00544407626378,-0.00878963085948
17,24.0,44.5,-0.08390388905511,0.00212866230459,-0.01317411974673
18,36.0,50.25,-0.05917880948963,0.02318222470798,0.00740533619361
19,48.0,56.0,-0.01897952139543,0.03587671162768,0.02458227554075
20,0.0,44.0,-0.24018251955278,-0.04252583585004,-0.06438261589198
21,12.0,48.0,-0.100834188134,-0.01352224653674,-0.03872544570521
22,24.0,52.0,-0.05687610388485,-0.00778208185883,-0.02032144903552
23,36.0,56.0,-0.06979412352053,-0.00982399903974,-0.02223890140136
24,48.0,60.0,-0.06709121240269,0.04032965044184,0.0091624242
