,x,y,sigma_x_dc,sigma_y_dc,sigma_xy_dc
0,2.0,0.0,8.53929561974716,7.46800523917708,8.09391449558518
1,3.25,0.0,0.07684677743737,-1.9316048315018,-3.43096605722624
2,4.5,0.0,-0.5341066801274,0.89250269895445,1.62959297562295
3,5.75,0.0,1.05042718847192,-0.71478969344422,-0.53732511854327
4,7.0,0.0,-0.11092822286127,0.77101862745949,-0.29426521877784
5,1.96157056080646,0.39018064403226,-8.02118396478161,-6.40749201327589,-0.4899184944026
6,3.22117792060485,0.73013548302419,0.1270680546562,2.11819998908115,-0.45278368088745
7,4.48078528040323,1.07009032201613,0.49757854064314,-1.29090804399086,0.27541506882253
8,5.74039264020162,1.41004516100806,-0.83466641821159,0.45794936458059,-0.21677785149539
9,7.0,1.75,-0.0032893138726,-0.61659796352991,0.86950402731974
10,1.84775906502257,0.76536686473018,7.69793663901156,8.22089117854653,0.4119364304542
11,3.13581929876693,1.44902514854763,-1.10973691614252,-2.28110392766168,0.97615249394086
12,4.42387953251129,2.13268343236509,-0.26806127104148,1.52538535456155,-0.73311423016234
13,5.71193976625564,2.81634171618254,0.64892976212323,-1.06329079301831,0.22327036231733
14,7.0,3.5,1.53944438844491,0.73559788666892,-2.02536380628605
15,1.66293922460509,1.1111404660392,-5.67680256404948,-6.06878957682713,-0.9468215538215
16,2.99720441845382,2.1458553495294,0.17289619133353,1.26026120955355,-0.59940982712908
17,4.33146961230254,3.1805702330196,-1.28969116311084,-0.70858350400415,0.23253539083391
18,5.66573480615127,4.2152851165098,-0.22905755692955,1.73878410574266,-2.03246061703139
19,7.0,5.25,-7.37955562435284,-8.05216707448452,4.01134837447664
20,1.4142135623731,1.4142135623731,3.89634846846801,3.37679098584929,1.40304104244538
21,2.81066017177982,2.81066017177982,34.1253283721929,189.99838341004963,-55.95636864101321
22,4.20710678118655,4.20710678118655,-7.28208702520582,-12.88853602350622,3.86576041283836
23,5.60355339059327,5.60355339059327,10.04878689575856,12.7926057584551,-7.70025728112488
24,7.0,7.0,-2.57643533139333,-14.35540560807253,-0.465274598527
25,1.1111404660392,1.66293922460509,-0.21806759808494,-1.46544571703033,-1.4453429503696
26,2.5833553495294,2.55970441845382,3.64055666717018,16.37868930815206,-2.25073810315821
27,4.0555702330196,3.45646961230254,-2.00856444630848,-1.67976529908819,0.13294340185354
28,5.5277851165098,4.35323480615127,-0.23423325106962,2.44141609987014,-2.06028647761523
29,7.0,5.25,-6.50547769919422,-7.84051889608776,3.19495740708759
30,0.76536686473018,1.84775906502257,2.03058826612644,3.59887041953211,1.68537906552463
31,2.32402514854764,2.26081929876693,-2.17981915358787,-6.41695304961292,0.74687715599335
32,3.88268343236509,2.67387953251129,-0.2284055487278,2.12569569766702,-0.21326390525886
33,5.44134171618255,3.08693976625564,-0.1333728836062,-1.00511440043512,-0.27964284193422
34,7.0,3.5,0.9099934231118,0.25435415924442,-1.60615535328841
35,0.39018064403226,1.96157056080646,-22.57915983099268,-67.86832884475379,-0.50980293064391
36,2.04263548302419,1.90867792060485,0.75280468404801,1.93830840911638,0.63964117765777
37,3.69509032201613,1.85578528040323,-0.22045516917243,-0.55692733699044,-0.21508697541791
38,5.34754516100806,1.80289264020162,-0.19890409668267,0.1073317414038,-0.09788223717833
39,7.0,1.75,-0.31402018559309,-0.14251528433007,0.81407871135474
40,0.0,2.0,12.91371390327044,37.62369107531158,4.65071560984336
41,1.75,1.5,-2.34193331203862,-7.06987008453762,-0.79224589013938
42,3.5,1.0,1.35040566630752,3.83421119145822,0.31589172400189
43,5.25,0.5,-0.92501618018039,-2.72761537773818,-0.29412118133122
44,7.0,0.0,0.65831596419581,2.22231617588998,-0.50598297118579
