,X,Y
0,0.0,0.0
1,0.1875,0.171875
2,0.375,0.34375
3,0.5625,0.515625
4,0.75,0.6875
5,0.9375,0.859375
6,1.125,1.03125
7,1.3125,1.203125
8,1.5,1.375
9,1.6875,1.546875
10,1.875,1.71875
11,2.0625,1.890625
12,2.25,2.0625
13,2.4375,2.234375
14,2.625,2.40625
15,2.8125,2.578125
16,3.0,2.75
17,3.1875,2.921875
18,3.375,3.09375
19,3.5625,3.265625
20,3.75,3.4375
21,3.9375,3.609375
22,4.125,3.78125
23,4.3125,3.953125
24,4.5,4.125
25,4.6875,4.296875
26,4.875,4.46875
27,5.0625,4.640625
28,5.25,4.8125
29,5.4375,4.984375
30,5.625,5.15625
31,5.8125,5.328125
32,6.0,5.5
33,6.1875,5.671875
34,6.375,5.84375
35,6.5625,6.015625
36,6.75,6.1875
37,6.9375,6.359375
38,7.125,6.53125
39,7.3125,6.703125
40,7.5,6.875
41,7.6875,7.046875
42,7.875,7.21875
43,8.0625,7.390625
44,8.25,7.5625
45,8.4375,7.734375
46,8.625,7.90625
47,8.8125,8.078125
48,9.0,8.25
49,9.1875,8.421875
50,9.375,8.59375
51,9.5625,8.765625
52,9.75,8.9375
53,9.9375,9.109375
54,10.125,9.28125
55,10.3125,9.453125
56,10.5,9.625
57,10.6875,9.796875
58,10.875,9.96875
59,11.0625,10.140625
60,11.25,10.3125
61,11.4375,10.484375
62,11.625,10.65625
63,11.8125,10.828125
64,12.0,11.0
65,12.1875,11.171875
66,12.375,11.34375
67,12.5625,11.515625
68,12.75,11.6875
69,12.9375,11.859375
70,13.125,12.03125
71,13.3125,12.203125
72,13.5,12.375
73,13.6875,12.546875
74,13.875,12.71875
75,14.0625,12.890625
76,14.25,13.0625
77,14.4375,13.234375
78,14.625,13.40625
79,14.8125,13.578125
80,15.0,13.75
81,15.1875,13.921875
82,15.375,14.09375
83,15.5625,14.265625
84,15.75,14.4375
85,15.9375,14.609375
86,16.125,14.78125
87,16.3125,14.953125
88,16.5,15.125
89,16.6875,15.296875
90,16.875,15.46875
91,17.0625,15.640625
92,17.25,15.8125
93,17.4375,15.984375
94,17.625,16.15625
95,17.8125,16.328125
96,18.0,16.5
97,18.1875,16.671875
98,18.375,16.84375
99,18.5625,17.015625
100,18.75,17.1875
101,18.9375,17.359375
102,19.125,17.53125
103,19.3125,17.703125
104,19.5,17.875
105,19.6875,18.046875
106,19.875,18.21875
107,20.0625,18.390625
108,20.25,18.5625
109,20.4375,18.734375
110,20.625,18.90625
111,20.8125,19.078125
112,21.0,19.25
113,21.1875,19.421875
114,21.375,19.59375
115,21.5625,19.765625
116,21.75,19.9375
117,21.9375,20.109375
118,22.125,20.28125
119,22.3125,20.453125
120,22.5,20.625
121,22.6875,20.796875
122,22.875,20.96875
123,23.0625,21.140625
124,23.25,21.3125
125,23.4375,21.484375
126,23.625,21.65625
127,23.8125,21.828125
128,24.0,22.0
129,24.1875,22.171875
130,24.375,22.34375
131,24.5625,22.515625
132,24.75,22.6875
133,24.9375,22.859375
134,25.125,23.03125
135,25.3125,23.203125
136,25.5,23.375
137,25.6875,23.546875
138,25.875,23.71875
139,26.0625,23.890625
140,26.25,24.0625
141,26.4375,24.234375
142,26.625,24.40625
143,26.8125,24.578125
144,27.0,24.75
145,27.1875,24.921875
146,27.375,25.09375
147,27.5625,25.265625
148,27.75,25.4375
149,27.9375,25.609375
150,28.125,25.78125
151,28.3125,25.953125
152,28.5,26.125
153,28.6875,26.296875
154,28.875,26.46875
155,29.0625,26.640625
156,29.25,26.8125
157,29.4375,26.984375
158,29.625,27.15625
159,29.8125,27.328125
160,30.0,27.5
161,30.1875,27.671875
162,30.375,27.84375
163,30.5625,28.015625
164,30.75,28.1875
165,30.9375,28.359375
166,31.125,28.53125
167,31.3125,28.703125
168,31.5,28.875
169,31.6875,29.046875
170,31.875,29.21875
171,32.0625,29.390625
172,32.25,29.5625
173,32.4375,29.734375
174,32.625,29.90625
175,32.8125,30.078125
176,33.0,30.25
177,33.1875,30.421875
178,33.375,30.59375
179,33.5625,30.765625
