,x,y,sigma_x_dc,sigma_y_dc,sigma_xy_dc
0,0.0,0.0,0.0686727521299,0.02289091737663,0.04935040880596
1,12.0,11.0,0.07704459088067,0.06951889085626,0.08199841402183
2,24.0,22.0,0.15956515102567,0.0533726870024,0.1187872084443
3,36.0,33.0,0.20008097688298,0.22691581101496,0.08427468587105
4,48.0,44.0,0.51477765512373,0.09832906739747,0.01871179871445
5,0.0,11.0,0.09804180355777,0.03268060118592,0.06202214584362
6,12.0,20.25,0.07001879976989,0.02823417634732,0.07390894269598
7,24.0,29.5,0.05450669531939,0.04450592496925,0.10284215068935
8,36.0,38.75,0.12515107987082,0.14895460981785,0.03460621653456
9,48.0,48.0,0.00261882544563,0.0219532536669,0.04654936054009
10,0.0,22.0,0.02674623348427,0.00891541116142,0.0521800858011
11,12.0,29.5,0.0246303253205,-0.01914203425714,0.06130796265551
12,24.0,37.0,0.03554832727122,0.0815486052474,0.01113545354536
13,36.0,44.5,-0.01137702873566,0.00145349127695,0.05529643339533
14,48.0,52.0,0.25229595497416,0.26442610666682,-0.0263564497868
15,0.0,33.0,-0.06680620541136,-0.02226873513712,0.04620918834674
16,12.0,38.75,-0.07587348531559,0.00294626783375,-0.02104657229542
17,24.0,44.5,-0.07787435716545,0.0129610585147,-0.01660324014683
18,36.0,50.25,-0.06044081862766,-0.00829515866286,0.01393091828611
19,48.0,56.0,-0.00928447601883,0.12281308777518,-0.04557762712198
20,0.0,44.0,-0.51297912526259,-0.1709930417542,0.06850484979185
21,12.0,48.0,-0.17926718209797,0.01737520952521,-0.1029192089243
22,24.0,52.0,-0.27976314631689,-0.10232460288153,0.02662725730801
23,36.0,56.0,-0.08628624102837,0.03870282737344,-0.09551020034575
24,48.0,60.0,-0.07842945616322,-0.01955812782854,0.02602306822376
