,x,y,ref_stress_x,ref_stress_y,ref_stress_xy,spr_stress_x,spr_stress_y,spr_stress_xy,ann_stress_x,ann_stress_y,ann_stress_xy,err_spr_abs_x,err_spr_abs_y,err_spr_abs_xy,err_ann_abs_x,err_ann_abs_y,err_ann_abs_xy,err_dc_abs_x,err_dc_abs_y,err_dc_abs_xy,err_spr_perc_x,err_spr_perc_y,err_spr_perc_xy,err_ann_perc_x,err_ann_perc_y,err_ann_perc_xy,err_dc_perc_x,err_dc_perc_y,err_dc_perc_xy
53,8.0,10.0,-0.12671208302587,-0.06131515082177,6.65744862e-06,0.006914796551826798,0.004009614761187486,-0.0019418357829364338,3.5323009490966797,0.0,0.0,0.1336268795776968,0.06532476558295748,0.001948493231556434,0.12671208302587,0.06131515082177,6.65744862e-06,0.011029349986572123,0.15484316551509306,0.4702742271850062,1.0545709326743138,1.0653935398910226,292.6786735841807,1.0,1.0,1.0,0.08704260653911222,2.525365483731565,70638.80685045471
54,0.31286893008046185,1.9753766811902755,-0.66593361037599,-0.48459089176817,-0.19710767396496,-0.0028637198620635688,-0.005989046552659306,-0.0027373278463592586,9.315572738647461,0.0,0.0,0.6630698905139264,0.4786018452155107,0.19437034611860074,0.66593361037599,0.48459089176817,0.19710767396496,0.2229284142486464,1.0560106412461487,0.09561305888563507,0.9956996916547781,0.9876410253382879,0.9861125252442181,1.0,1.0,1.0,0.33476071904942556,2.179179714651649,0.4850803470119194
55,1.0502951440643695,3.58030134495222,-0.11487253808659,-0.03737451652105,0.15554604653991,-0.0005844698578656068,0.007383762695087661,0.001629549337448687,4.283942222595215,0.0,0.0,0.1142880682287244,0.04475827921613766,0.1539164972024613,0.11487253808659,0.03737451652105,0.15554604653991,0.25136210464318853,0.0036928409581844027,0.5938287970412902,0.9949120140670608,1.1975614237291603,0.9895236852771403,1.0,1.0,1.0,2.188182735665802,0.0988063873978016,3.8177042120381097
56,1.7877213580482771,5.1852260087141655,-1.04808884885472,-0.45493224674825,-0.20486775045928,-0.0039006911889237286,-0.00897536105778842,0.00013298448522415545,3.7396790981292725,0.0,0.0,1.0441881576657963,0.4459568856904616,0.20500073494450416,1.04808884885472,0.45493224674825,0.20486775045928,1.3161825603882393,0.17704824172983918,0.574780862527217,0.9962782819479608,0.980270993929443,1.0006491235683803,1.0,1.0,1.0,1.2557929242606425,0.38917496615229824,2.8056190456460444
57,2.5251475720321848,6.79015067247611,-0.13188895890546,-0.06794799279884,-5.868964586e-05,0.0028716119444254997,-0.004721702027784216,-0.003065827567430105,3.5329442024230957,0.0,0.0,0.13476057084988552,0.0632262907710558,0.0030071379215701054,0.13188895890546,0.06794799279884,5.868964586e-05,0.0766661944064218,0.16374962442478064,1.0304608663957142,1.0217729517941219,0.9305100587479779,51.23796331542739,1.0,1.0,1.0,0.5812934990363923,2.409925851813773,17557.79663168876
58,3.2625737860160924,8.395075336238055,-1.21624600082112,-0.23477495478568,-0.1293587718385,-0.003364626052091785,-0.008017687099366856,-0.003976885526944029,3.4051318168640137,0.0,0.0,1.2128813747690281,0.22675726768631316,0.12538188631155597,1.21624600082112,0.23477495478568,0.1293587718385,0.9743964761466208,0.7627167786972607,0.2053280421931242,0.9972335974384949,0.9658494786776299,0.9692569319388017,1.0,1.0,1.0,0.8011508161085668,3.248714409905968,1.5872757546698821
59,4.0,10.0,-0.09289626571594,-0.07258864574,-1.206087081e-05,0.005519706431651225,0.00504987583078531,-0.00911850506515475,3.4044699668884277,0.0,0.0,0.09841597214759122,0.07763852157078531,0.00910644419434475,0.09289626571594,0.07258864574,1.206087081e-05,0.321934263642737,0.047622042684873064,0.9048208930819573,1.0594179581828347,1.0695683984637638,755.0403563558898,1.0,1.0,1.0,3.4655242722797257,0.6560536045189078,75021.19103470915
60,1.2246467991473532e-16,2.0,-1.07246893265218,0.15604921306473,0.10320813170461,-0.0028629232055372203,-0.0036003067308924422,-0.0038058365829315376,10.62807846069336,0.0,0.0,1.0696060094466426,0.15964951979562245,0.10701396828754155,1.07246893265218,0.15604921306473,0.10320813170461,1.3435848307876295,0.5611459199658236,0.12145004680444756,0.9973305304066409,1.0230716109372435,1.036875355847194,1.0,1.0,1.0,1.2527960390097166,3.595954820567134,1.176748816188703
61,9.797174393178826e-17,3.6,0.06465984412836,0.012859446394,1.238016248e-05,-0.0008567808926146257,0.005729877950319115,0.002674267721751889,4.630536079406738,0.0,0.0,0.06551662502097462,0.007129568443680885,0.0026618875592718887,0.06465984412836,0.012859446394,1.238016248e-05,0.22173361294991023,0.09281639875658332,0.6567095905933362,1.013250587039984,0.5544226574953819,215.01232827696205,1.0,1.0,1.0,3.4292320982050932,7.217760074017641,53045.31274563177
62,7.347880794884119e-17,5.2,-0.62815808551652,0.34093116958017,0.31410581740033,-0.003653006861618074,-0.0005654764837397516,0.00034069303447316096,3.7173397541046143,0.0,0.0,0.6245050786549019,0.3414966460639097,0.31376512436585685,0.62815808551652,0.34093116958017,0.31410581740033,0.38475362419777237,0.12175732690171182,0.4334782544808828,0.9941845740015998,1.001658623599702,0.9989153558590769,1.0,1.0,1.0,0.6125108202362759,0.35713169626481034,1.3800389246799967
63,4.898587196589412e-17,6.800000000000001,0.23936173538871,0.16063533249903,7.11422407e-06,-0.0032025350264370833,-0.005004555537478845,-0.015455642887837327,3.5808663368225098,0.0,0.0,0.24256427041514708,0.16563988803650884,0.015462757111907326,0.23936173538871,0.16063533249903,7.11422407e-06,0.16399486650586884,0.21887364659095482,0.3337009620481185,1.013379477806828,1.031154761904633,2173.498748389482,1.0,1.0,1.0,0.6851340137534949,1.3625498399754392,46906.16415292617
64,2.449293598294706e-17,8.4,-0.00264413183334,6.0275142e-07,2.532460758e-05,-0.003574862797840872,0.0022773971297513746,-4.055989293535068e-05,3.484732151031494,0.0,0.0,0.0009307309645008722,0.0022767943783313744,6.588450051535068e-05,0.00264413183334,6.0275142e-07,2.532460758e-05,16.199867222309898,4.57802225839262,2.4712041893635446,0.3519986986901468,3777.3355694979105,2.601600056673047,1.0,1.0,1.0,6126.724476459496,7595207.753127516,97581.1444089332
